user_id,date_served,marketing_channel,variant,language_displayed,converted
a1123,1/6/18,House Ads,control,Spanish,True
a1124,1/6/18,House Ads,control,Arabic,True
a1125,1/6/18,House Ads,control,English,True
a1126,1/6/18,House Ads,control,English,True
a1127,1/6/18,House Ads,control,English,True
a1128,1/6/18,House Ads,control,English,True
a1129,1/6/18,House Ads,control,English,True
a1130,1/6/18,House Ads,control,Arabic,True
a1131,1/6/18,House Ads,control,English,True
a1132,1/7/18,House Ads,control,Arabic,True
a1133,1/7/18,House Ads,control,English,True
a1134,1/7/18,House Ads,control,English,True
a1135,1/7/18,House Ads,control,English,True
a1136,1/7/18,House Ads,control,English,True
a1137,1/7/18,House Ads,control,English,True
a1138,1/7/18,House Ads,control,English,True
a1139,1/7/18,House Ads,control,German,True
a1140,1/7/18,House Ads,control,English,True
a1141,1/7/18,House Ads,control,English,True
a1142,1/7/18,House Ads,control,German,True
a1143,1/7/18,House Ads,control,Arabic,True
a1144,1/7/18,House Ads,control,English,True
a1145,1/7/18,House Ads,control,English,True
a1146,1/7/18,House Ads,control,English,True
a1147,1/7/18,House Ads,control,English,True
a1148,1/7/18,House Ads,control,English,True
a1149,1/7/18,House Ads,control,English,True
a1150,1/7/18,House Ads,control,Spanish,True
a1151,1/8/18,House Ads,control,English,True
a1152,1/8/18,House Ads,control,English,True
a1153,1/8/18,House Ads,control,English,True
a1154,1/8/18,House Ads,control,German,True
a1155,1/8/18,House Ads,control,German,True
a1156,1/8/18,House Ads,control,English,True
a1157,1/8/18,House Ads,control,English,True
a1158,1/8/18,House Ads,control,English,True
a1159,1/8/18,House Ads,control,English,True
a1160,1/8/18,House Ads,control,English,True
a1161,1/8/18,House Ads,control,English,True
a1162,1/8/18,House Ads,control,English,True
a1163,1/8/18,House Ads,control,German,True
a1164,1/8/18,House Ads,control,English,True
a1165,1/8/18,House Ads,control,Spanish,True
a1166,1/8/18,House Ads,control,Spanish,True
a1167,1/9/18,House Ads,control,Spanish,True
a1168,1/9/18,House Ads,control,English,True
a1169,1/9/18,House Ads,control,English,True
a1170,1/9/18,House Ads,control,English,True
a1171,1/9/18,House Ads,control,English,True
a1172,1/9/18,House Ads,control,English,True
a1173,1/9/18,House Ads,control,English,True
a1174,1/9/18,House Ads,control,English,True
a1175,1/9/18,House Ads,control,English,True
a1176,1/9/18,House Ads,control,English,True
a1177,1/9/18,House Ads,control,English,True
a1178,1/9/18,House Ads,control,English,True
a1179,1/9/18,House Ads,control,English,True
a1180,1/9/18,House Ads,control,English,True
a1181,1/9/18,House Ads,control,English,True
a1182,1/9/18,House Ads,control,English,True
a1183,1/9/18,House Ads,control,English,True
a1184,1/9/18,House Ads,control,English,True
a1185,1/9/18,House Ads,control,English,True
a1186,1/9/18,House Ads,control,English,True
a1187,1/10/18,House Ads,control,German,True
a1188,1/10/18,House Ads,control,German,True
a1189,1/10/18,House Ads,control,English,True
a1190,1/10/18,House Ads,control,English,True
a1191,1/10/18,House Ads,control,Spanish,True
a1192,1/10/18,House Ads,control,English,True
a1193,1/10/18,House Ads,control,English,True
a1194,1/10/18,House Ads,control,English,True
a1195,1/10/18,House Ads,control,English,True
a1196,1/10/18,House Ads,control,English,True
a1197,1/10/18,House Ads,control,Spanish,True
a1198,1/10/18,House Ads,control,English,True
a1199,1/10/18,House Ads,control,English,True
a1200,1/10/18,House Ads,control,English,True
a1201,1/10/18,House Ads,control,English,True
a1202,1/10/18,House Ads,control,English,True
a1203,1/10/18,House Ads,control,English,True
a1204,1/10/18,House Ads,control,Spanish,True
a1205,1/10/18,House Ads,personalization,English,True
a1206,1/10/18,House Ads,personalization,English,True
a1207,1/10/18,House Ads,personalization,Spanish,True
a1208,1/11/18,House Ads,personalization,English,True
a1209,1/12/18,House Ads,personalization,English,True
a1210,1/13/18,House Ads,personalization,English,True
a1211,1/14/18,House Ads,personalization,English,True
a1212,1/15/18,House Ads,personalization,English,True
a1213,1/16/18,House Ads,personalization,English,True
a1214,1/17/18,House Ads,personalization,English,True
a1215,1/18/18,House Ads,personalization,English,True
a1216,1/19/18,House Ads,personalization,English,True
a1217,1/20/18,House Ads,personalization,English,True
a1218,1/21/18,House Ads,personalization,English,True
a1219,1/10/18,House Ads,personalization,English,False
a1220,1/22/18,House Ads,personalization,English,True
a1221,1/10/18,House Ads,personalization,English,False
a1222,1/23/18,House Ads,personalization,English,True
a1223,1/10/18,Push,personalization,English,False
a1224,1/24/18,House Ads,personalization,English,True
a1225,1/10/18,House Ads,personalization,English,False
a1226,1/25/18,House Ads,personalization,English,True
a1227,1/10/18,House Ads,personalization,English,False
a1228,1/26/18,House Ads,personalization,English,True
a1229,1/10/18,House Ads,personalization,English,False
a1230,1/27/18,House Ads,personalization,English,True
a1231,1/10/18,Push,personalization,English,False
a1232,1/28/18,House Ads,personalization,English,True
a1233,1/10/18,Facebook,personalization,Spanish,False
a1234,1/29/18,House Ads,personalization,English,True
a1235,1/10/18,Instagram,personalization,English,False
a1236,1/30/18,House Ads,personalization,English,True
a1237,1/10/18,Instagram,personalization,English,False
a1238,1/31/18,House Ads,personalization,English,True
a1239,1/10/18,Facebook,personalization,English,False
a1240,1/11/18,House Ads,personalization,English,True
a1241,1/10/18,House Ads,personalization,English,False
a1242,1/12/18,House Ads,personalization,English,True
a1243,1/10/18,House Ads,personalization,English,False
a1244,1/13/18,House Ads,personalization,English,True
a1245,1/10/18,House Ads,personalization,English,False
a1246,1/14/18,House Ads,personalization,English,True
a1247,1/10/18,House Ads,personalization,English,False
a1248,1/15/18,House Ads,personalization,English,True
a1249,1/10/18,Push,personalization,English,False
a1250,1/16/18,House Ads,personalization,English,True
a1251,1/10/18,House Ads,personalization,English,False
a1252,1/17/18,House Ads,personalization,English,True
a1253,1/10/18,House Ads,personalization,Spanish,False
a1254,1/18/18,House Ads,personalization,English,True
a1255,1/10/18,House Ads,personalization,English,False
a1256,1/19/18,House Ads,personalization,English,True
a1257,1/10/18,Push,personalization,English,False
a1258,1/20/18,House Ads,personalization,English,True
a1259,1/10/18,Facebook,personalization,German,False
a1260,1/21/18,House Ads,personalization,English,True
a1261,1/10/18,Instagram,personalization,English,False
a1262,1/22/18,House Ads,personalization,English,True
a1263,1/10/18,Instagram,personalization,English,False
a1264,1/23/18,House Ads,personalization,English,True
a1265,1/10/18,House Ads,personalization,English,False
a1266,1/24/18,House Ads,personalization,English,True
a1267,1/10/18,House Ads,personalization,English,False
a1268,1/25/18,House Ads,personalization,English,True
a1269,1/10/18,House Ads,personalization,German,False
a1270,1/26/18,House Ads,personalization,English,True
a1271,1/27/18,House Ads,personalization,English,True
a1272,1/28/18,House Ads,personalization,English,True
a1273,1/29/18,House Ads,personalization,English,True
a1274,1/30/18,House Ads,personalization,English,True
a1275,1/31/18,House Ads,personalization,English,True
a1276,1/11/18,House Ads,personalization,English,True
a1277,1/12/18,House Ads,personalization,English,True
a1278,1/13/18,House Ads,control,English,True
a1279,1/14/18,House Ads,control,English,True
a1280,1/15/18,House Ads,control,English,True
a1281,1/16/18,House Ads,control,English,True
a1282,1/17/18,House Ads,control,English,True
a1283,1/18/18,House Ads,control,English,True
a1284,1/19/18,House Ads,control,English,True
a1285,1/20/18,House Ads,control,English,True
a1286,1/21/18,House Ads,control,English,True
a1287,1/22/18,House Ads,control,English,True
a1288,1/23/18,House Ads,control,English,True
a1289,1/24/18,House Ads,control,English,True
a1290,1/25/18,House Ads,control,English,True
a1291,1/26/18,House Ads,control,English,True
a1292,1/27/18,House Ads,control,English,True
a1293,1/28/18,House Ads,control,English,True
a1294,1/29/18,House Ads,control,English,True
a1295,1/30/18,House Ads,control,English,True
a1296,1/31/18,House Ads,control,English,True
a1297,1/11/18,House Ads,control,English,True
a1298,1/12/18,House Ads,control,English,True
a1299,1/13/18,House Ads,control,English,True
a1300,1/14/18,House Ads,control,English,True
a1301,1/15/18,House Ads,control,English,True
a1302,1/16/18,House Ads,control,English,True
a1303,1/17/18,House Ads,control,English,True
a1304,1/18/18,House Ads,control,English,True
a1305,1/19/18,House Ads,control,English,True
a1306,1/20/18,House Ads,control,English,True
a1307,1/21/18,House Ads,control,English,True
a1308,1/22/18,House Ads,control,English,True
a1309,1/23/18,House Ads,control,English,True
a1310,1/24/18,House Ads,control,English,True
a1311,1/25/18,House Ads,control,English,True
a1312,1/26/18,House Ads,control,English,True
a1313,1/27/18,House Ads,personalization,English,True
a1314,1/28/18,House Ads,personalization,English,True
a1315,1/29/18,House Ads,personalization,English,True
a1316,1/30/18,House Ads,personalization,English,True
a1317,1/31/18,House Ads,personalization,English,True
a1318,1/11/18,House Ads,personalization,English,True
a1319,1/13/18,House Ads,personalization,English,True
a1320,1/14/18,House Ads,personalization,English,True
a1321,1/15/18,House Ads,personalization,English,True
a1322,1/16/18,House Ads,personalization,English,True
a1323,1/17/18,House Ads,personalization,English,True
a1324,1/18/18,House Ads,personalization,English,True
a1325,1/19/18,House Ads,personalization,English,True
a1326,1/20/18,House Ads,personalization,English,True
a1327,1/22/18,House Ads,personalization,English,True
a1328,1/23/18,House Ads,personalization,English,True
a1329,1/24/18,House Ads,personalization,English,True
a1330,1/25/18,House Ads,personalization,English,True
a1331,1/26/18,House Ads,personalization,English,True
a1332,1/27/18,House Ads,personalization,English,True
a1333,1/28/18,House Ads,personalization,English,True
a1334,1/29/18,House Ads,personalization,English,True
a1335,1/30/18,House Ads,personalization,English,True
a1336,1/31/18,House Ads,personalization,English,True
a1337,1/11/18,House Ads,personalization,English,True
a1338,1/13/18,House Ads,personalization,English,True
a1339,1/14/18,House Ads,personalization,English,True
a1340,1/15/18,House Ads,personalization,English,True
a1341,1/16/18,House Ads,personalization,English,True
a1342,1/17/18,House Ads,personalization,English,True
a1343,1/18/18,House Ads,personalization,English,True
a1344,1/20/18,House Ads,personalization,English,True
a1345,1/21/18,House Ads,personalization,English,True
a1346,1/22/18,House Ads,personalization,English,True
a1347,1/24/18,House Ads,personalization,English,True
a1348,1/25/18,House Ads,personalization,English,True
a1349,1/26/18,House Ads,personalization,English,True
a1350,1/27/18,House Ads,personalization,English,True
a1351,1/28/18,House Ads,personalization,English,True
a1352,1/30/18,House Ads,personalization,English,True
a1353,1/31/18,House Ads,personalization,English,True
a1354,1/1/18,Email,personalization,Arabic,True
a1355,1/2/18,Push,personalization,English,True
a1356,1/3/18,Facebook,personalization,English,True
a1357,1/4/18,Instagram,personalization,English,True
a1358,1/5/18,Email,personalization,Arabic,True
a1359,1/6/18,Push,personalization,English,True
a1360,1/7/18,Facebook,personalization,English,True
a1361,1/8/18,Instagram,personalization,English,True
a1362,1/9/18,Email,personalization,English,False
a1363,1/10/18,Push,personalization,English,True
a1364,1/11/18,Facebook,personalization,English,True
a1365,1/12/18,Instagram,personalization,English,True
a1366,1/13/18,Email,personalization,Arabic,True
a1367,1/14/18,Push,personalization,English,True
a1368,1/15/18,Facebook,personalization,English,True
a1369,1/16/18,Instagram,personalization,English,True
a1370,1/17/18,Email,personalization,English,True
a1371,1/18/18,Push,personalization,English,True
a1372,1/19/18,Facebook,personalization,English,True
a1373,1/20/18,Instagram,personalization,English,True
a1374,1/21/18,Email,personalization,English,True
a1375,1/22/18,Push,personalization,English,True
a1376,1/23/18,Facebook,personalization,English,True
a1377,1/24/18,Instagram,personalization,English,True
a1378,1/25/18,Email,personalization,English,True
a1379,1/26/18,Push,personalization,English,True
a1380,1/27/18,Facebook,personalization,English,True
a1381,1/28/18,Instagram,personalization,English,True
a1382,1/29/18,Email,personalization,English,False
a1383,1/30/18,Push,personalization,English,True
a1384,1/31/18,Facebook,personalization,English,True
a1385,1/1/18,Instagram,personalization,English,True
a1386,1/2/18,Email,personalization,English,True
a1387,1/3/18,Push,personalization,English,True
a1388,1/4/18,Facebook,personalization,English,True
a1389,1/5/18,Instagram,personalization,English,True
a1390,1/6/18,Email,personalization,English,False
a1391,1/7/18,Push,personalization,English,True
a1392,1/8/18,Facebook,personalization,English,True
a1393,1/9/18,Instagram,personalization,English,True
a1394,1/10/18,Facebook,personalization,English,True
a1395,1/11/18,Facebook,personalization,English,True
a1396,1/12/18,Facebook,personalization,English,True
a1397,1/13/18,Facebook,personalization,English,True
a1398,1/14/18,Facebook,personalization,English,True
a1399,1/15/18,Facebook,personalization,English,True
a1400,1/16/18,Facebook,personalization,English,True
a1401,1/17/18,Facebook,personalization,English,True
a1402,1/18/18,Facebook,personalization,English,True
a1403,1/19/18,Facebook,personalization,English,True
a1404,1/20/18,Facebook,personalization,English,True
a1405,1/21/18,Facebook,personalization,English,True
a1406,1/22/18,Facebook,personalization,English,True
a1407,1/23/18,Facebook,personalization,English,True
a1408,1/24/18,Facebook,personalization,English,True
a1409,1/25/18,Facebook,personalization,English,True
a1410,1/26/18,Facebook,personalization,English,True
a1411,1/27/18,Facebook,personalization,English,True
a1412,1/28/18,Facebook,personalization,English,True
a1413,1/29/18,Facebook,personalization,English,True
a1414,1/30/18,Facebook,personalization,English,True
a1415,1/31/18,Facebook,personalization,English,True
a1416,1/1/18,Facebook,personalization,English,True
a1417,1/2/18,Facebook,personalization,English,True
a1418,1/3/18,Facebook,personalization,English,True
a1419,1/4/18,Facebook,personalization,English,True
a1420,1/5/18,Facebook,personalization,English,True
a1421,1/6/18,Facebook,personalization,English,True
a1422,1/7/18,Facebook,personalization,English,True
a1423,1/8/18,Facebook,personalization,English,True
a1424,1/9/18,Facebook,personalization,English,True
a1425,1/10/18,Facebook,personalization,English,True
a1426,1/11/18,Facebook,personalization,English,True
a1427,1/12/18,Facebook,personalization,English,True
a1428,1/13/18,Facebook,personalization,English,True
a1429,1/14/18,Facebook,personalization,English,True
a1430,1/15/18,Facebook,personalization,English,True
a1431,1/16/18,Facebook,personalization,English,True
a1432,1/17/18,Facebook,control,English,True
a1433,1/18/18,Facebook,control,English,True
a1434,1/19/18,Facebook,control,English,True
a1435,1/20/18,Facebook,control,English,True
a1436,1/21/18,Facebook,control,English,True
a1437,1/22/18,Facebook,control,English,True
a1438,1/23/18,Facebook,control,English,True
a1439,1/24/18,Facebook,control,English,True
a1440,1/25/18,Facebook,control,English,True
a1441,1/26/18,Facebook,control,English,True
a1442,1/27/18,Facebook,control,English,True
a1443,1/28/18,Facebook,control,English,True
a1444,1/29/18,Facebook,control,English,True
a1445,1/30/18,Facebook,control,English,True
a1446,1/30/18,Facebook,control,English,False
a1447,1/31/18,Facebook,control,English,True
a1448,1/31/18,Facebook,control,English,False
a1449,1/21/18,Facebook,control,English,True
a1450,1/21/18,Facebook,control,English,False
a1451,1/22/18,Facebook,control,English,True
a1452,1/22/18,Facebook,control,English,False
a1453,1/23/18,Facebook,control,English,True
a1454,1/23/18,Facebook,control,English,False
a1455,1/24/18,Facebook,control,English,True
a1456,1/24/18,Facebook,control,English,False
a1457,1/25/18,Facebook,control,English,True
a1458,1/25/18,Facebook,control,English,False
a1459,1/26/18,Facebook,control,English,True
a1460,1/26/18,Facebook,control,English,False
a1461,1/27/18,Facebook,personalization,English,True
a1462,1/27/18,Facebook,personalization,English,False
a1463,1/28/18,Facebook,personalization,English,True
a1464,1/28/18,Facebook,personalization,English,False
a1465,1/29/18,Facebook,personalization,English,True
a1466,1/29/18,Facebook,personalization,English,False
a1467,1/30/18,Email,personalization,English,True
a1468,1/30/18,Email,personalization,English,False
a1469,1/15/18,Email,personalization,English,True
a1470,1/15/18,Email,personalization,English,True
a1471,1/15/18,Email,personalization,English,True
a1472,1/15/18,Email,personalization,English,False
a1473,1/15/18,Email,personalization,English,True
a1474,1/15/18,Email,personalization,English,False
a1475,1/15/18,Email,personalization,English,True
a1476,1/15/18,Email,personalization,English,False
a1477,1/15/18,Email,personalization,English,True
a1478,1/15/18,Email,personalization,English,True
a1479,1/15/18,Email,personalization,English,True
a1480,1/15/18,Email,personalization,English,False
a1481,1/15/18,Email,personalization,English,True
a1482,1/15/18,Email,personalization,English,True
a1483,1/15/18,Email,personalization,English,False
a1484,1/15/18,Email,personalization,English,True
a1485,1/15/18,Email,personalization,English,True
a1486,1/15/18,Email,personalization,English,True
a1487,1/15/18,Email,personalization,English,False
a1488,1/15/18,Email,personalization,English,True
a1489,1/15/18,Email,personalization,English,False
a1490,1/15/18,Email,personalization,Spanish,True
a1491,1/15/18,Email,personalization,English,True
a1492,1/15/18,Email,personalization,English,False
a1493,1/15/18,Email,personalization,English,True
a1494,1/15/18,Email,personalization,Spanish,True
a1495,1/15/18,Email,personalization,English,True
a1496,1/15/18,Email,personalization,English,False
a1497,1/15/18,Email,personalization,English,True
a1498,1/15/18,Email,personalization,English,True
a1499,1/15/18,Email,personalization,English,True
a1500,1/15/18,Email,personalization,Spanish,True
a1501,1/15/18,Email,personalization,English,True
a1502,1/15/18,Email,personalization,English,True
a1503,1/15/18,Email,personalization,English,True
a1504,1/15/18,Email,personalization,English,True
a1505,1/15/18,Email,personalization,English,True
a1506,1/15/18,Email,personalization,English,True
a1507,1/15/18,Email,personalization,English,True
a1508,1/15/18,Email,personalization,English,True
a1509,1/15/18,Email,personalization,English,True
a1510,1/15/18,Email,personalization,English,True
a1511,1/15/18,Email,personalization,English,True
a1512,1/15/18,Email,personalization,English,False
a1513,1/16/18,Email,personalization,German,True
a1514,1/16/18,Email,personalization,English,True
a1515,1/16/18,Email,personalization,English,True
a1516,1/16/18,Email,personalization,English,True
a1517,1/16/18,Email,personalization,English,True
a1518,1/16/18,Email,personalization,English,True
a1519,1/16/18,Email,personalization,English,True
a1520,1/16/18,Email,personalization,English,False
a1521,1/16/18,Email,personalization,English,True
a1522,1/16/18,Email,personalization,English,True
a1523,1/16/18,Email,personalization,English,True
a1524,1/16/18,Email,personalization,German,True
a1525,1/16/18,Email,personalization,English,True
a1526,1/16/18,Email,personalization,English,True
a1527,1/16/18,Email,personalization,English,True
a1528,1/16/18,Email,personalization,English,True
a1529,1/16/18,Email,personalization,English,True
a1530,1/16/18,Email,personalization,German,True
a1531,1/16/18,Email,personalization,Spanish,True
a1532,1/16/18,Email,control,English,False
a1533,1/16/18,Email,control,English,True
a1534,1/17/18,Email,control,English,True
a1535,1/17/18,Email,control,English,True
a1536,1/17/18,Email,control,English,True
a1537,1/17/18,Email,control,English,True
a1538,1/17/18,Email,control,English,True
a1539,1/17/18,Email,control,English,True
a1540,1/17/18,Email,control,German,True
a1541,1/17/18,Email,control,German,True
a1542,1/17/18,Email,control,English,True
a1543,1/17/18,Email,control,English,True
a1544,1/17/18,Email,control,English,True
a1545,1/17/18,Email,control,English,True
a1546,1/5/18,Instagram,control,English,False
a1547,1/17/18,Email,control,English,True
a1548,1/6/18,Facebook,control,English,False
a1549,1/16/18,Facebook,control,English,True
a1550,1/7/18,House Ads,control,English,False
a1551,1/16/18,Instagram,control,English,True
a1552,1/8/18,House Ads,control,English,False
a1553,1/16/18,Email,control,English,True
a1554,1/5/18,House Ads,control,English,False
a1555,1/16/18,Push,control,English,True
a1556,1/6/18,House Ads,control,English,False
a1557,1/16/18,Facebook,control,English,True
a1558,1/7/18,Push,control,English,False
a1559,1/17/18,Instagram,control,English,True
a1560,1/8/18,House Ads,control,English,False
a1561,1/17/18,Email,control,Arabic,True
a1562,1/5/18,House Ads,control,English,False
a1563,1/17/18,Push,control,English,True
a1564,1/6/18,House Ads,control,English,False
a1565,1/17/18,Facebook,control,English,True
a1566,1/7/18,Push,control,English,False
a1567,1/17/18,Instagram,control,English,True
a1568,1/8/18,Facebook,control,English,False
a1569,1/17/18,Email,control,English,True
a1570,1/5/18,Instagram,control,English,False
a1571,1/16/18,Push,control,English,True
a1572,1/6/18,Instagram,control,English,False
a1573,1/16/18,Facebook,control,English,True
a1574,1/7/18,Facebook,control,English,True
a1575,1/16/18,Instagram,control,English,True
a1576,1/8/18,House Ads,control,English,False
a1577,1/16/18,Email,control,English,True
a1578,1/5/18,House Ads,control,English,False
a1579,1/16/18,Push,control,English,True
a1580,1/6/18,House Ads,control,English,False
a1581,1/17/18,Facebook,control,English,True
a1582,1/7/18,Instagram,control,English,False
a1583,1/17/18,Instagram,control,English,True
a1584,1/8/18,Facebook,control,English,False
a1585,1/16/18,Email,control,Arabic,True
a1586,1/5/18,House Ads,control,English,False
a1587,1/16/18,Push,control,English,True
a1588,1/6/18,House Ads,control,English,False
a1589,1/16/18,Facebook,control,English,True
a1590,1/7/18,House Ads,control,English,False
a1591,1/16/18,Instagram,control,English,True
a1592,1/8/18,House Ads,control,English,False
a1593,1/16/18,Email,control,English,True
a1594,1/17/18,Push,control,English,True
a1595,1/17/18,Facebook,control,English,True
a1596,1/17/18,Instagram,control,English,True
a1597,1/17/18,Email,control,English,True
a1598,1/17/18,Push,personalization,English,True
a1599,1/17/18,Facebook,personalization,English,True
a1600,1/16/18,Instagram,personalization,English,True
a1601,1/16/18,Email,control,English,True
a1602,1/16/18,Push,personalization,English,True
a1603,1/16/18,Facebook,personalization,English,True
a1604,1/16/18,Instagram,personalization,English,True
a1605,1/17/18,Email,personalization,English,True
a1606,1/17/18,Push,personalization,English,True
a1607,1/16/18,Facebook,personalization,English,True
a1608,1/15/18,House Ads,personalization,English,False
a1609,1/16/18,Instagram,personalization,English,True
a1610,1/15/18,Instagram,personalization,English,False
a1611,1/16/18,Email,personalization,English,False
a1612,1/15/18,Facebook,personalization,English,False
a1613,1/16/18,Push,personalization,English,True
a1614,1/15/18,House Ads,personalization,English,False
a1615,1/16/18,Facebook,personalization,English,True
a1616,1/15/18,House Ads,personalization,English,False
a1617,1/17/18,Instagram,personalization,English,True
a1618,1/15/18,House Ads,personalization,English,False
a1619,1/17/18,Email,personalization,Arabic,False
a1620,1/15/18,House Ads,personalization,English,False
a1621,1/17/18,Push,personalization,English,True
a1622,1/15/18,House Ads,personalization,English,False
a1623,1/17/18,Facebook,personalization,English,True
a1624,1/15/18,House Ads,personalization,English,False
a1625,1/17/18,Instagram,personalization,English,True
a1626,1/15/18,House Ads,personalization,English,False
a1627,1/17/18,Email,personalization,Arabic,False
a1628,1/15/18,Push,personalization,English,False
a1629,1/16/18,Push,personalization,English,True
a1630,1/15/18,House Ads,personalization,English,False
a1631,1/16/18,Facebook,personalization,English,True
a1632,1/15/18,House Ads,personalization,English,False
a1633,1/16/18,Instagram,personalization,English,True
a1634,1/15/18,House Ads,personalization,English,False
a1635,1/16/18,Email,control,English,True
a1636,1/15/18,Push,personalization,English,False
