user_id,age_group,language_preferred
a1087,30-36 years,English
a1088,30-36 years,English
a1089,36-45 years,English
a1090,36-45 years,English
a1091,45-55 years,English
a1092,45-55 years,English
a1093,55+ years,Spanish
a1094,55+ years,Spanish
a1095,0-18 years,English
a1096,0-18 years,English
a1097,19-24 years,English
a1098,19-24 years,English
a1099,24-30 years,English
a1100,24-30 years,English
a1101,30-36 years,English
a1102,30-36 years,English
a1103,36-45 years,Spanish
a1104,36-45 years,Spanish
a1105,45-55 years,Spanish
a1106,45-55 years,Spanish
a1107,55+ years,English
a1108,55+ years,English
a1109,0-18 years,English
a1110,0-18 years,English
a1111,19-24 years,English
a1112,24-30 years,English
a1113,30-36 years,English
a1114,36-45 years,English
a1115,45-55 years,English
a1116,55+ years,Spanish
a1117,0-18 years,English
a1118,19-24 years,English
a1119,24-30 years,English
a1120,30-36 years,English
a1121,36-45 years,English
a1122,45-55 years,Arabic
a1123,55+ years,Spanish
a1124,0-18 years,Arabic
a1125,19-24 years,English
a1126,24-30 years,English
a1127,30-36 years,English
a1128,36-45 years,English
a1129,45-55 years,English
a1130,55+ years,Arabic
a1131,0-18 years,English
a1132,19-24 years,Arabic
a1133,24-30 years,English
a1134,30-36 years,English
a1135,36-45 years,English
a1136,45-55 years,English
a1137,55+ years,English
a1138,0-18 years,English
a1139,19-24 years,German
a1140,24-30 years,English
a1141,30-36 years,English
a1142,36-45 years,German
a1143,45-55 years,Arabic
a1144,55+ years,English
a1145,0-18 years,English
a1146,19-24 years,English
a1147,24-30 years,English
a1148,30-36 years,English
a1149,36-45 years,English
a1150,45-55 years,Spanish
a1151,55+ years,English
a1152,0-18 years,English
a1153,19-24 years,English
a1154,24-30 years,German
a1155,30-36 years,German
a1156,36-45 years,English
a1157,45-55 years,English
a1158,55+ years,English
a1159,0-18 years,English
a1160,19-24 years,English
a1161,24-30 years,English
a1162,30-36 years,English
a1163,36-45 years,German
a1164,45-55 years,English
a1165,55+ years,Spanish
a1166,0-18 years,Spanish
a1167,19-24 years,Spanish
a1168,24-30 years,English
a1169,30-36 years,English
a1170,36-45 years,English
a1171,45-55 years,English
a1172,55+ years,English
a1173,0-18 years,English
a1174,19-24 years,English
a1175,24-30 years,English
a1176,30-36 years,English
a1177,36-45 years,English
a1178,45-55 years,English
a1179,55+ years,English
a1180,0-18 years,English
a1181,19-24 years,English
a1182,24-30 years,English
a1183,30-36 years,English
a1184,36-45 years,English
a1185,45-55 years,English
a1186,55+ years,English
a1187,0-18 years,German
a1188,19-24 years,German
a1189,24-30 years,English
a1190,30-36 years,English
a1191,36-45 years,Spanish
a1192,45-55 years,English
a1193,55+ years,English
a1194,0-18 years,English
a1195,19-24 years,English
a1196,24-30 years,English
a1197,30-36 years,Spanish
a1198,36-45 years,English
a1199,45-55 years,English
a1200,55+ years,English
a1201,0-18 years,English
a1202,19-24 years,English
a1203,24-30 years,English
a1204,30-36 years,Spanish
a1205,36-45 years,English
a1206,45-55 years,English
a1207,55+ years,Spanish
a1208,0-18 years,English
a1209,19-24 years,Spanish
a1210,24-30 years,English
a1211,30-36 years,English
a1212,36-45 years,English
a1213,45-55 years,English
a1214,55+ years,English
a1215,0-18 years,English
a1216,19-24 years,English
a1217,24-30 years,English
a1218,0-18 years,English
a1219,0-18 years,English
a1220,19-24 years,English
a1221,19-24 years,English
a1222,24-30 years,English
a1223,24-30 years,English
a1224,0-18 years,English
a1225,0-18 years,English
a1226,19-24 years,English
a1227,19-24 years,English
a1228,24-30 years,English
a1229,24-30 years,English
a1230,0-18 years,English
a1231,0-18 years,English
a1232,19-24 years,Spanish
a1233,19-24 years,Spanish
a1234,24-30 years,English
a1235,24-30 years,English
a1236,0-18 years,English
a1237,0-18 years,English
a1238,19-24 years,English
a1239,19-24 years,English
a1240,24-30 years,English
a1241,24-30 years,English
a1242,0-18 years,English
a1243,0-18 years,English
a1244,19-24 years,English
a1245,19-24 years,English
a1246,24-30 years,English
a1247,24-30 years,English
a1248,30-36 years,English
a1249,30-36 years,English
a1250,36-45 years,English
a1251,36-45 years,English
a1252,45-55 years,Spanish
a1253,45-55 years,Spanish
a1254,55+ years,English
a1255,55+ years,English
a1256,0-18 years,English
a1257,0-18 years,English
a1258,19-24 years,German
a1259,19-24 years,German
a1260,24-30 years,English
a1261,24-30 years,English
a1262,0-18 years,English
a1263,0-18 years,English
a1264,19-24 years,English
a1265,19-24 years,English
a1266,24-30 years,English
a1267,24-30 years,English
a1268,0-18 years,German
a1269,0-18 years,German
a1270,19-24 years,English
a1271,24-30 years,Arabic
a1272,0-18 years,Spanish
a1273,19-24 years,English
a1274,24-30 years,English
a1275,0-18 years,English
a1276,19-24 years,English
a1277,24-30 years,English
a1278,0-18 years,German
a1279,19-24 years,English
a1280,24-30 years,English
a1281,30-36 years,English
a1282,36-45 years,Spanish
a1283,45-55 years,English
a1284,55+ years,English
a1285,0-18 years,English
a1286,19-24 years,English
a1287,24-30 years,Arabic
a1288,30-36 years,English
a1289,36-45 years,English
a1290,45-55 years,German
a1291,55+ years,Spanish
a1292,0-18 years,Spanish
a1293,19-24 years,English
a1294,24-30 years,English
a1295,30-36 years,Spanish
a1296,36-45 years,English
a1297,45-55 years,English
a1298,55+ years,English
a1299,0-18 years,English
a1300,19-24 years,English
a1301,24-30 years,English
a1302,30-36 years,English
a1303,36-45 years,Spanish
a1304,45-55 years,German
a1305,55+ years,English
a1306,0-18 years,Arabic
a1307,19-24 years,English
a1308,24-30 years,English
a1309,30-36 years,English
a1310,36-45 years,English
a1311,45-55 years,English
a1312,55+ years,Spanish
a1313,0-18 years,English
a1314,19-24 years,English
a1315,24-30 years,Arabic
a1316,30-36 years,English
a1317,36-45 years,Arabic
a1318,45-55 years,English
a1319,55+ years,English
a1320,0-18 years,English
a1321,19-24 years,English
a1322,24-30 years,English
a1323,0-18 years,Spanish
a1324,19-24 years,English
a1325,24-30 years,Arabic
a1326,0-18 years,English
a1327,19-24 years,English
a1328,24-30 years,English
a1329,0-18 years,English
a1330,19-24 years,English
a1331,24-30 years,English
a1332,0-18 years,English
a1333,19-24 years,English
a1334,24-30 years,Arabic
a1335,0-18 years,English
a1336,19-24 years,Spanish
a1337,24-30 years,English
a1338,30-36 years,English
a1339,36-45 years,English
a1340,45-55 years,English
a1341,55+ years,English
a1342,0-18 years,English
a1343,19-24 years,English
a1344,24-30 years,English
a1345,0-18 years,English
a1346,19-24 years,German
a1347,24-30 years,English
a1348,0-18 years,English
a1349,19-24 years,English
a1350,24-30 years,English
a1351,0-18 years,English
a1352,19-24 years,Spanish
a1353,24-30 years,English
a1354,0-18 years,Arabic
a1355,19-24 years,English
a1356,24-30 years,English
a1357,0-18 years,English
a1358,19-24 years,Arabic
a1359,24-30 years,English
a1360,30-36 years,English
a1361,36-45 years,English
a1362,45-55 years,English
a1363,55+ years,English
a1364,0-18 years,English
a1365,19-24 years,English
a1366,24-30 years,Arabic
a1367,0-18 years,English
a1368,19-24 years,English
a1369,24-30 years,English
a1370,0-18 years,English
a1371,19-24 years,English
a1372,24-30 years,English
a1373,0-18 years,English
a1374,19-24 years,English
a1375,24-30 years,English
a1376,0-18 years,English
a1377,19-24 years,English
a1378,24-30 years,English
a1379,0-18 years,English
a1380,19-24 years,English
a1381,24-30 years,English
a1382,30-36 years,English
a1383,36-45 years,English
a1384,45-55 years,English
a1385,55+ years,English
a1386,0-18 years,English
a1387,19-24 years,English
a1388,24-30 years,English
a1389,0-18 years,English
a1390,19-24 years,English
a1391,24-30 years,English
a1392,0-18 years,English
a1393,19-24 years,English
a1394,24-30 years,English
a1395,0-18 years,English
a1396,19-24 years,English
a1397,24-30 years,English
a1398,0-18 years,English
a1399,19-24 years,English
a1400,24-30 years,English
a1401,0-18 years,English
a1402,19-24 years,English
a1403,24-30 years,English
a1404,30-36 years,English
a1405,36-45 years,English
a1406,45-55 years,English
a1407,55+ years,English
a1408,0-18 years,English
a1409,19-24 years,English
a1410,24-30 years,English
a1411,0-18 years,English
a1412,19-24 years,English
a1413,24-30 years,English
a1414,0-18 years,English
a1415,19-24 years,English
a1416,24-30 years,English
a1417,0-18 years,English
a1418,19-24 years,English
a1419,24-30 years,English
a1420,0-18 years,English
a1421,19-24 years,English
a1422,24-30 years,English
a1423,19-24 years,English
a1424,24-30 years,English
a1425,0-18 years,English
a1426,19-24 years,English
a1427,24-30 years,English
a1428,0-18 years,English
a1429,19-24 years,English
a1430,24-30 years,English
a1431,24-30 years,English
a1432,0-18 years,English
a1433,19-24 years,English
a1434,24-30 years,English
a1435,30-36 years,English
a1436,36-45 years,English
a1437,45-55 years,English
a1438,55+ years,English
a1439,0-18 years,English
a1440,19-24 years,English
a1441,24-30 years,English
a1442,30-36 years,English
a1443,36-45 years,English
a1444,45-55 years,English
a1445,55+ years,English
a1446,55+ years,English
a1447,0-18 years,English
a1448,0-18 years,English
a1449,19-24 years,English
a1450,19-24 years,English
a1451,24-30 years,English
a1452,24-30 years,English
a1453,30-36 years,English
a1454,30-36 years,English
a1455,36-45 years,English
a1456,36-45 years,English
a1457,45-55 years,English
a1458,45-55 years,English
a1459,55+ years,English
a1460,55+ years,English
a1461,0-18 years,English
a1462,0-18 years,English
a1463,19-24 years,English
a1464,19-24 years,English
a1465,24-30 years,English
a1466,24-30 years,English
a1467,24-30 years,English
a1468,24-30 years,English
a1469,0-18 years,English
a1470,0-18 years,English
a1471,19-24 years,English
a1472,19-24 years,English
a1473,24-30 years,English
a1474,24-30 years,English
a1475,24-30 years,English
a1476,24-30 years,English
a1477,0-18 years,English
a1478,0-18 years,English
a1479,19-24 years,English
a1480,24-30 years,English
a1481,24-30 years,English
a1482,0-18 years,English
a1483,19-24 years,English
a1484,24-30 years,English
a1485,24-30 years,English
a1486,0-18 years,English
a1487,19-24 years,English
a1488,24-30 years,English
a1489,24-30 years,English
a1490,0-18 years,Spanish
a1491,19-24 years,English
a1492,24-30 years,English
a1493,24-30 years,English
a1494,0-18 years,Spanish
a1495,19-24 years,English
a1496,24-30 years,English
a1497,24-30 years,English
a1498,0-18 years,English
a1499,19-24 years,English
a1500,24-30 years,Spanish
a1501,24-30 years,English
a1502,0-18 years,English
a1503,19-24 years,English
a1504,24-30 years,English
a1505,24-30 years,English
a1506,0-18 years,English
a1507,19-24 years,English
a1508,24-30 years,English
a1509,24-30 years,English
a1510,0-18 years,English
a1511,19-24 years,English
a1512,24-30 years,English
a1513,24-30 years,German
a1514,0-18 years,English
a1515,19-24 years,English
a1516,24-30 years,English
a1517,24-30 years,English
a1518,0-18 years,English
a1519,19-24 years,English
a1520,24-30 years,English
a1521,24-30 years,English
a1522,0-18 years,English
a1523,19-24 years,English
a1524,24-30 years,German
a1525,24-30 years,English
a1526,0-18 years,English
a1527,19-24 years,English
a1528,24-30 years,English
a1529,24-30 years,English
a1530,0-18 years,German
a1531,19-24 years,Spanish
a1532,0-18 years,English
a1533,19-24 years,English
a1534,24-30 years,English
a1535,30-36 years,English
a1536,36-45 years,English
a1537,45-55 years,English
a1538,55+ years,English
a1539,0-18 years,English
a1540,19-24 years,German
a1541,24-30 years,German
a1542,30-36 years,English
a1543,36-45 years,English
a1544,45-55 years,English
a1545,55+ years,English
a1546,55+ years,English
a1547,0-18 years,English
a1548,0-18 years,English
a1549,19-24 years,English
a1550,19-24 years,English
a1551,24-30 years,English
a1552,24-30 years,English
a1553,30-36 years,English
a1554,30-36 years,English
a1555,36-45 years,English
a1556,36-45 years,English
a1557,45-55 years,English
a1558,45-55 years,English
a1559,55+ years,English
a1560,55+ years,English
a1561,0-18 years,Arabic
a1562,0-18 years,English
a1563,19-24 years,English
a1564,19-24 years,English
a1565,24-30 years,English
a1566,24-30 years,English
a1567,30-36 years,English
a1568,30-36 years,English
a1569,36-45 years,English
a1570,36-45 years,English
a1571,45-55 years,English
a1572,45-55 years,English
a1573,55+ years,English
a1574,55+ years,English
a1575,0-18 years,English
a1576,0-18 years,English
a1577,19-24 years,English
a1578,19-24 years,English
a1579,24-30 years,English
a1580,24-30 years,English
a1581,30-36 years,English
a1582,30-36 years,English
a1583,36-45 years,English
a1584,36-45 years,English
a1585,45-55 years,Arabic
a1586,45-55 years,English
a1587,55+ years,English
a1588,55+ years,English
a1589,0-18 years,English
a1590,0-18 years,English
a1591,19-24 years,English
a1592,19-24 years,English
a1593,24-30 years,English
a1594,30-36 years,English
a1595,36-45 years,English
a1596,45-55 years,English
a1597,55+ years,English
a1598,19-24 years,English
a1599,24-30 years,English
a1600,30-36 years,English
a1601,36-45 years,English
a1602,45-55 years,English
a1603,55+ years,English
a1604,0-18 years,English
a1605,19-24 years,English
a1606,24-30 years,English
a1607,0-18 years,English
a1608,0-18 years,English
a1609,19-24 years,English
a1610,19-24 years,English
a1611,24-30 years,English
a1612,24-30 years,English
a1613,0-18 years,English
a1614,0-18 years,English
a1615,19-24 years,English
a1616,19-24 years,English
a1617,24-30 years,English
a1618,24-30 years,English
a1619,55+ years,Arabic
a1620,55+ years,English
a1621,19-24 years,English
a1622,19-24 years,English
a1623,24-30 years,English
a1624,24-30 years,English
a1625,30-36 years,English
a1626,30-36 years,English
a1627,36-45 years,Arabic
a1628,36-45 years,English
a1629,45-55 years,English
a1630,45-55 years,English
a1631,55+ years,English
a1632,55+ years,English
a1633,0-18 years,English
a1634,0-18 years,English
a1635,19-24 years,English
a1636,19-24 years,English
a1637,24-30 years,English
a1638,24-30 years,English
a1639,0-18 years,English
a1640,0-18 years,English
a1641,19-24 years,English
a1642,19-24 years,English
a1643,24-30 years,English
a1644,24-30 years,English
a1645,0-18 years,English
a1646,0-18 years,English
a1647,19-24 years,English
a1648,19-24 years,English
a1649,24-30 years,English
a1650,24-30 years,English
a1651,55+ years,English
a1652,55+ years,English
a1653,19-24 years,English
a1654,19-24 years,English
a1655,24-30 years,English
a1656,24-30 years,English
a1657,30-36 years,English
a1658,30-36 years,English
a1659,36-45 years,English
a1660,36-45 years,English
a1661,45-55 years,English
a1662,45-55 years,English
a1663,55+ years,English
a1664,55+ years,English
a1665,0-18 years,English
a1666,0-18 years,English
a1667,19-24 years,English
a1668,19-24 years,English
a1669,24-30 years,English
a1670,24-30 years,English
a1671,0-18 years,English
a1672,0-18 years,English
a1673,19-24 years,English
a1674,19-24 years,English
a1675,24-30 years,English
a1676,24-30 years,English
a1677,0-18 years,English
a1678,0-18 years,English
a1679,19-24 years,English
a1680,19-24 years,English
a1681,24-30 years,English
a1682,24-30 years,English
a1683,55+ years,English
a1684,55+ years,English
a1685,19-24 years,English
a1686,19-24 years,English
a1687,24-30 years,English
a1688,24-30 years,English
a1689,30-36 years,English
a1690,30-36 years,English
a1691,36-45 years,English
a1692,36-45 years,English
a1693,45-55 years,English
a1694,45-55 years,English
a1695,55+ years,English
a1696,55+ years,English
a1697,0-18 years,English
a1698,0-18 years,English
a1699,19-24 years,English
a1700,19-24 years,English
a1701,24-30 years,English
a1702,24-30 years,English
a1703,0-18 years,English
a1704,0-18 years,English
a1705,19-24 years,English
a1706,19-24 years,English
a1707,24-30 years,English
a1708,24-30 years,English
a1709,0-18 years,English
a1710,0-18 years,English
a1711,19-24 years,English
a1712,19-24 years,English
a1713,24-30 years,English
a1714,24-30 years,English
a1715,55+ years,English
a1716,55+ years,English
a1717,19-24 years,English
a1718,19-24 years,English
a1719,24-30 years,English
a1720,24-30 years,English
a1721,30-36 years,English
a1722,30-36 years,English
a1723,36-45 years,English
a1724,36-45 years,English
a1725,45-55 years,English
a1726,45-55 years,English
a1727,55+ years,English
a1728,55+ years,English
a1729,0-18 years,English
a1730,0-18 years,English
a1731,19-24 years,English
a1732,19-24 years,English
a1733,24-30 years,English
a1734,24-30 years,English
a1735,0-18 years,English
a1736,0-18 years,English
a1737,19-24 years,English
a1738,19-24 years,English
a1739,24-30 years,English
a1740,45-55 years,English
a1741,45-55 years,English
a1742,45-55 years,English
a1743,24-30 years,English
a1744,0-18 years,English
a1745,55+ years,English
a1746,55+ years,English
a1747,55+ years,English
a1748,0-18 years,English
a1749,19-24 years,English
a1750,0-18 years,English
a1751,0-18 years,English
a1752,0-18 years,English
a1753,19-24 years,English
a1754,24-30 years,English
a1755,19-24 years,English
a1756,19-24 years,English
a1757,19-24 years,English
a1758,24-30 years,English
a1759,55+ years,English
a1760,24-30 years,English
a1761,24-30 years,English
a1762,24-30 years,English
a1763,55+ years,English
a1764,19-24 years,English
a1765,30-36 years,English
a1766,30-36 years,English
a1767,30-36 years,English
a1768,19-24 years,English
a1769,24-30 years,English
a1770,36-45 years,English
a1771,36-45 years,English
a1772,36-45 years,English
a1773,24-30 years,English
a1774,30-36 years,English
a1775,45-55 years,English
a1776,45-55 years,English
a1777,45-55 years,English
a1778,30-36 years,English
a1779,36-45 years,English
a1780,19-24 years,English
a1781,36-45 years,English
a1782,45-55 years,English
a1783,24-30 years,English
a1784,45-55 years,English
a1785,55+ years,English
a1786,30-36 years,English
a1787,55+ years,English
a1788,0-18 years,English
a1789,36-45 years,English
a1790,0-18 years,English
a1791,19-24 years,English
a1792,45-55 years,Spanish
a1793,24-30 years,English
a1794,0-18 years,English
a1795,24-30 years,English
a1796,0-18 years,English
a1797,19-24 years,English
a1798,0-18 years,English
a1799,19-24 years,English
a1800,24-30 years,English
a1801,19-24 years,English
a1802,24-30 years,English
a1803,30-36 years,English
a1804,24-30 years,English
a1805,0-18 years,English
a1806,36-45 years,English
a1807,0-18 years,English
a1808,19-24 years,English
a1809,19-24 years,English
a1810,45-55 years,English
a1811,45-55 years,English
a1812,19-24 years,English
a1813,19-24 years,English
a1814,45-55 years,English
a1815,45-55 years,English
a1816,24-30 years,English
a1817,24-30 years,English
a1818,55+ years,English
a1819,55+ years,English
a1820,24-30 years,English
a1821,24-30 years,English
a1822,55+ years,English
a1823,55+ years,English
a1824,55+ years,English
a1825,55+ years,English
a1826,0-18 years,English
a1827,0-18 years,English
a1828,0-18 years,English
a1829,0-18 years,English
a1830,55+ years,English
a1831,55+ years,English
a1832,0-18 years,English
a1833,0-18 years,English
a1834,19-24 years,English
a1835,19-24 years,English
a1836,19-24 years,English
a1837,19-24 years,English
a1838,19-24 years,English
a1839,19-24 years,English
a1840,19-24 years,English
a1841,19-24 years,English
a1842,19-24 years,English
a1843,19-24 years,English
a1844,24-30 years,English
a1845,24-30 years,English
a1846,24-30 years,English
a1847,24-30 years,English
a1848,24-30 years,English
a1849,24-30 years,English
a1850,24-30 years,English
a1851,24-30 years,English
a1852,24-30 years,English
a1853,24-30 years,English
a1854,30-36 years,English
a1855,30-36 years,English
a1856,30-36 years,English
a1857,30-36 years,English
a1858,30-36 years,English
a1859,30-36 years,English
a1860,30-36 years,English
a1861,30-36 years,English
a1862,30-36 years,English
a1863,30-36 years,English
a1864,36-45 years,English
a1865,36-45 years,English
a1866,36-45 years,English
a1867,36-45 years,English
a1868,36-45 years,English
a1869,36-45 years,English
a1870,36-45 years,English
a1871,36-45 years,English
a1872,36-45 years,English
a1873,36-45 years,English
a1874,45-55 years,English
a1875,45-55 years,English
a1876,45-55 years,English
a1877,45-55 years,English
a1878,45-55 years,English
a1879,45-55 years,English
a1880,45-55 years,English
a1881,45-55 years,English
a1882,45-55 years,English
a1883,45-55 years,English
a1884,45-55 years,English
a1885,45-55 years,English
a1886,55+ years,English
a1887,55+ years,English
a1888,55+ years,English
a1889,55+ years,English
a1890,55+ years,English
a1891,55+ years,English
a1892,55+ years,English
a1893,55+ years,English
a1894,55+ years,English
a1895,55+ years,English
a1896,0-18 years,English
a1897,0-18 years,English
a1898,0-18 years,English
a1899,0-18 years,English
a1900,0-18 years,English
a1901,0-18 years,English
a1902,0-18 years,English
a1903,0-18 years,English
a1904,0-18 years,English
a1905,0-18 years,English
a1906,19-24 years,English
a1907,19-24 years,English
a1908,19-24 years,English
a1909,19-24 years,English
a1910,19-24 years,English
a1911,19-24 years,English
a1912,19-24 years,English
a1913,19-24 years,English
a1914,19-24 years,English
a1915,19-24 years,English
a1916,24-30 years,English
a1917,24-30 years,English
a1918,24-30 years,English
a1919,24-30 years,English
a1920,24-30 years,English
a1921,24-30 years,English
a1922,24-30 years,English
a1923,24-30 years,English
a1924,24-30 years,English
a1925,24-30 years,English
a1926,0-18 years,English
a1927,0-18 years,English
a1928,30-36 years,English
a1929,30-36 years,English
a1930,30-36 years,English
a1931,30-36 years,English
a1932,0-18 years,English
a1933,0-18 years,English
a1934,30-36 years,English
a1935,30-36 years,English
a1936,19-24 years,English
a1937,19-24 years,English
a1938,36-45 years,English
a1939,36-45 years,English
a1940,36-45 years,English
a1941,36-45 years,English
a1942,19-24 years,English
a1943,19-24 years,English
a1944,36-45 years,English
a1945,36-45 years,English
a1946,24-30 years,English
a1947,24-30 years,English
a1948,45-55 years,English
a1949,45-55 years,English
a1950,45-55 years,English
a1951,45-55 years,English
a1952,24-30 years,English
a1953,24-30 years,English
a1954,45-55 years,English
a1955,45-55 years,English
a1956,0-18 years,English
a1957,0-18 years,English
a1958,55+ years,English
a1959,55+ years,English
a1960,55+ years,English
a1961,55+ years,English
a1962,0-18 years,English
a1963,0-18 years,English
a1964,55+ years,English
a1965,55+ years,English
a1966,19-24 years,English
a1967,19-24 years,English
a1968,0-18 years,English
a1969,0-18 years,English
a1970,0-18 years,English
a1971,0-18 years,English
a1972,19-24 years,English
a1973,19-24 years,English
a1974,0-18 years,English
a1975,0-18 years,English
a1976,24-30 years,English
a1977,24-30 years,English
a1978,19-24 years,English
a1979,19-24 years,English
a1980,19-24 years,English
a1981,19-24 years,English
a1982,24-30 years,English
a1983,24-30 years,English
a1984,19-24 years,English
a1985,19-24 years,English
a1986,19-24 years,English
a1987,19-24 years,English
a1988,24-30 years,English
a1989,24-30 years,English
a1990,24-30 years,English
a1991,24-30 years,English
a1992,19-24 years,English
a1993,19-24 years,English
a1994,24-30 years,English
a1995,24-30 years,English
a1996,24-30 years,English
a1997,24-30 years,English
a1998,30-36 years,English
a1999,30-36 years,English
a2000,30-36 years,English
a2001,30-36 years,English
a2002,24-30 years,English
a2003,24-30 years,English
a2004,30-36 years,English
a2005,30-36 years,English
a2006,30-36 years,English
a2007,45-55 years,English
a2008,30-36 years,English
a2009,36-45 years,English
a2010,0-18 years,English
a2011,36-45 years,English
a2012,36-45 years,English
a2013,24-30 years,English
a2014,36-45 years,English
a2015,36-45 years,English
a2016,45-55 years,English
a2017,30-36 years,English
a2018,45-55 years,English
a2019,45-55 years,English
a2020,55+ years,English
a2021,36-45 years,Spanish
a2022,55+ years,English
a2023,55+ years,English
a2024,0-18 years,English
a2025,45-55 years,Spanish
a2026,0-18 years,English
a2027,0-18 years,English
a2028,19-24 years,English
a2029,0-18 years,English
a2030,19-24 years,English
a2031,19-24 years,English
a2032,24-30 years,English
a2033,19-24 years,English
a2034,24-30 years,English
a2035,24-30 years,English
a2036,30-36 years,English
a2037,24-30 years,English
a2038,30-36 years,English
a2039,30-36 years,English
a2040,36-45 years,English
a2041,30-36 years,English
a2042,36-45 years,English
a2043,36-45 years,English
a2044,45-55 years,English
a2045,36-45 years,English
a2046,45-55 years,English
a2047,45-55 years,English
a2048,55+ years,English
a2049,45-55 years,English
a2050,55+ years,English
a2051,55+ years,English
a2052,0-18 years,English
a2053,0-18 years,English
a2054,0-18 years,English
a2055,0-18 years,English
a2056,19-24 years,English
a2057,19-24 years,English
a2058,19-24 years,English
a2059,19-24 years,English
a2060,24-30 years,English
a2061,24-30 years,English
a2062,24-30 years,English
a2063,24-30 years,English
a2064,30-36 years,English
a2065,30-36 years,English
a2066,30-36 years,English
a2067,30-36 years,English
a2068,36-45 years,English
a2069,36-45 years,English
a2070,36-45 years,English
a2071,36-45 years,English
a2072,45-55 years,English
a2073,45-55 years,English
a2074,45-55 years,English
a2075,45-55 years,English
a2076,55+ years,English
a2077,0-18 years,English
a2078,55+ years,English
a2079,55+ years,English
a2080,0-18 years,English
a2081,19-24 years,English
a2082,0-18 years,English
a2083,0-18 years,English
a2084,19-24 years,English
a2085,24-30 years,English
a2086,19-24 years,English
a2087,24-30 years,English
a2088,30-36 years,English
a2089,24-30 years,English
a2090,30-36 years,English
a2091,36-45 years,English
a2092,30-36 years,English
a2093,36-45 years,English
a2094,45-55 years,English
a2095,36-45 years,English
a2096,45-55 years,English
a2097,0-18 years,English
a2098,45-55 years,English
a2099,55+ years,English
a2100,19-24 years,English
a2101,55+ years,English
a2102,0-18 years,English
a2103,24-30 years,English
a2104,0-18 years,English
a2105,19-24 years,English
a2106,30-36 years,English
a2107,19-24 years,English
a2108,24-30 years,English
a2109,36-45 years,English
a2110,24-30 years,English
a2111,19-24 years,English
a2112,45-55 years,English
a2113,19-24 years,English
a2114,19-24 years,English
a2115,0-18 years,English
a2116,19-24 years,English
a2117,19-24 years,English
a2118,19-24 years,English
a2119,19-24 years,English
a2120,0-18 years,English
a2121,24-30 years,English
a2122,0-18 years,English
a2123,19-24 years,English
a2124,30-36 years,English
a2125,19-24 years,English
a2126,24-30 years,English
a2127,36-45 years,English
a2128,24-30 years,English
a2129,19-24 years,English
a2130,45-55 years,English
a2131,19-24 years,English
a2132,19-24 years,English
a2133,0-18 years,English
a2134,19-24 years,English
a2135,19-24 years,English
a2136,19-24 years,English
a2137,19-24 years,English
a2138,0-18 years,English
a2139,24-30 years,English
a2140,0-18 years,English
a2141,19-24 years,English
a2142,30-36 years,English
a2143,19-24 years,English
a2144,24-30 years,English
a2145,36-45 years,English
a2146,24-30 years,English
a2147,19-24 years,English
a2148,45-55 years,English
a2149,19-24 years,English
a2150,19-24 years,English
a2151,0-18 years,English
a2152,19-24 years,English
a2153,19-24 years,English
a2154,19-24 years,English
a2155,19-24 years,English
a2156,0-18 years,English
